ID,Typ,Lektion,Plats,Beskrivning,Aspect,Flagga,URL
L1.1,Inline,L1 — Berättelsen om AI,Krok · Lektion1Content.tsx:36,"Filmcollage: sex generiska sci-fi-hjälparrobotar (R2-D2/Baymax/JARVIS/Wall-E/Pokédex/Minecraft-zombie-stil)",16:9,,
L1.2,Inline,L1 — Berättelsen om AI,Kärntext · Lektion1Content.tsx:110,"Parallella tidslinjer — Fantasi (Frankenstein/HAL/Skynet/Wall-E) vs Verklighet (Turing/Deep Blue/AlphaGo/ChatGPT)",3:2,,
L1.3,Inline,L1 — Berättelsen om AI,Kärntext · Lektion1Content.tsx:193,"Will Smith spaghetti 2023 (glitchy) vs Sora 2026 (fotorealistisk) — split panel",16:7,,
L2.1,Inline,L2 — Vad är AI egentligen?,Fall · Lektion2Content.tsx:73,"Amazon CV-AI bias (87% män, 13% kvinnor) — generisk funnel-illustration",3:2,⚠️ varumärke,
L2.2,Inline,L2 — Vad är AI egentligen?,Kärntext · Lektion2Content.tsx:145,"Skala: barn med 1M-ord-stack vs gigantisk 13T-ord-torn",16:7,,
L3.1,Inline,L3 — Använda AI som verktyg,Kärntext · Lektion3Content.tsx:61,"Generisk superhjälte (vag prompt 'Rita en hjälte')",1:1,,
L3.2,Inline,L3 — Använda AI som verktyg,Kärntext · Lektion3Content.tsx:76,"Orange katt med riddarhjälm på bokhög i biblioteksnisch (specifik prompt)",1:1,,
L3.3,Inline,L3 — Använda AI som verktyg,Kärntext · Lektion3Content.tsx:116,"MrBeast-stil dramatisk YouTube-thumbnail-pastisch (utan riktig person)",16:9,⚠️ person,
L4.1,Inline,L4 — Kritiskt granska AI,Krok · Lektion4Content.tsx:45,"Will Smith spaghetti vs Sora — kan återanvända L1.3",16:7,,
L4.2,Inline,L4 — Kritiskt granska AI,Fall · Lektion4Content.tsx:80,"Domstolsillustration — 712 hallucinerade citat 2025",3:2,,
L5.1,Inline,L5 — Etik och ansvar,Fall · Lektion5Content.tsx:113,"USA-karta med 5 delstater highlightade (Roblox-stämningar)",3:2,⚠️ varumärke,
L5.2,Inline,L5 — Etik och ansvar,Kärntext · Lektion5Content.tsx:176,"720 miljarder gallons vatten = 18 miljoner hushåll-scale",16:7,,
L6.1,Inline,L6 — Människa och maskin,Fall · Lektion6Content.tsx:95,"Chat-mockup där AI smickrar absurt påstående",16:9,,
L6.2,Inline,L6 — Människa och maskin,Kärntext · Lektion6Content.tsx:181,"Statistik tonåringar och AI-companions (1 av 2)",16:7,,
L7.1,Inline,L7 — Framtid och samhälle,Krok · Lektion7Content.tsx:63,"Wall-E (flytstolar) vs Star Trek (Enterprise) — passiv vs aktiv framtid",16:7,⚠️ upphovsrätt,
L7.2,Inline,L7 — Framtid och samhälle,Kärntext · Lektion7Content.tsx:102,"Nobelpristagare 2024 (Hinton/Hopfield/Hassabis/Jumper)",3:2,⚠️ riktiga personer,
L1-hero,Hero (valfri),L1 — Berättelsen om AI,Lektionsstart,"Barn vid kant av landskap tittar på ljusband av AI-historia",21:9,,
L2-hero,Hero (valfri),L2 — Vad är AI egentligen?,Lektionsstart,"Barn med förstoringsglas över transparent datamönster-kub",21:9,,
L3-hero,Hero (valfri),L3 — Använda AI som verktyg,Lektionsstart,"Barn med öppen verktygslåda — verktyg svävar fritt",21:9,,
L4-hero,Hero (valfri),L4 — Kritiskt granska AI,Lektionsstart,"Barn med förstoringsglas över glitchad skärm — lugn detektivblick",21:9,,
L5-hero,Hero (valfri),L5 — Etik och ansvar,Lektionsstart,"Barn vid vägkorsning med liten våg — två glödande stigar",21:9,,
L6-hero,Hero (valfri),L6 — Människa och maskin,Lektionsstart,"Barn delar stund med vän — AI-chat-varelse hovrar respektfullt",21:9,,
L7-hero,Hero (valfri),L7 — Framtid och samhälle,Lektionsstart,"Barn bygger 2040-ställning tillsammans med ritningar och verktyg",21:9,,
S1,Spel-omslag,Mönster-fångaren,/mellanstadiet/spel/monster-fangaren,"Arkad-paddel med HUND/KATT-fack fångar fallande former",16:10,,
S2,Spel-omslag,Nästa ord,/mellanstadiet/spel/nasta-ord,"Två tankebubblor med saknat ord i mening — barn vs AI",16:10,,
S3,Spel-omslag,AI eller människa?,/mellanstadiet/spel/ai-eller-manniska,"Två textblock — ett organiskt med småfel, ett perfekt",16:10,,
S4,Spel-omslag,Sycophancy-detektorn,/mellanstadiet/spel/sycophancy-detektorn,"Smicker-bubbla med hjärtan vs ärlig bubbla med checkmark",16:10,,
S5,Spel-omslag,Bygg din framtid,/mellanstadiet/spel/byg-din-framtid,"Barn framför vägg av 7 framtidsdomän-paneler",16:10,,
S6,Spel-omslag,Dilemma-spelet,/mellanstadiet/spel/dilemma-spelet,"Stig som grenar i 8 vägar med dilemma-ikoner",16:10,,
S7,Spel-omslag,Hallucination-rally,/mellanstadiet/spel/hallucination-rally,"Race-track med falska påståenden som hinder + timer",16:10,,
S8,Spel-omslag,Bias-detektiven,/mellanstadiet/spel/bias-detektiven,"Detektivskrivbord med 3 case-mappar + förstoringsglas",16:10,,
